shelf_image,bbox_x,bbox_y,bbox_w,bbox_h,brand
C1_P01_N1_S2_1.JPG,24,872,244,392,Chesterfield
C1_P01_N1_S2_1.JPG,292,872,252,376,Chesterfield
C1_P01_N1_S2_1.JPG,528,900,252,376,Chesterfield
C1_P01_N1_S2_1.JPG,780,908,252,376,Chesterfield
C1_P01_N1_S2_1.JPG,1028,928,252,376,Chesterfield
C1_P01_N1_S2_1.JPG,1008,1552,252,376,Muratti
C1_P01_N1_S2_1.JPG,536,1556,252,376,Muratti
C1_P01_N1_S2_1.JPG,40,1560,252,376,Muratti
C1_P01_N1_S2_1.JPG,768,1564,252,376,Muratti
C1_P01_N1_S2_1.JPG,280,1568,252,376,Muratti
C1_P01_N1_S2_2.JPG,348,196,500,748,Chesterfield
C1_P01_N1_S2_2.JPG,864,236,500,748,Chesterfield
C1_P01_N1_S2_2.JPG,1392,256,500,748,Chesterfield
C1_P01_N1_S2_2.JPG,1868,260,500,748,Chesterfield
C1_P01_N1_S2_2.JPG,2372,272,500,748,Chesterfield
C1_P01_N1_S2_2.JPG,2280,1552,500,748,Muratti
C1_P01_N1_S2_2.JPG,1372,1556,500,748,Muratti
C1_P01_N1_S2_2.JPG,896,1560,500,748,Muratti
C1_P01_N1_S2_2.JPG,1840,1568,500,748,Muratti
C1_P01_N1_S2_2.JPG,416,1572,500,748,Muratti
C1_P01_N1_S3_1.JPG,688,264,276,448,Chesterfield
C1_P01_N1_S3_1.JPG,992,284,276,448,Chesterfield
C1_P01_N1_S3_1.JPG,1268,292,276,448,Chesterfield
C1_P01_N1_S3_1.JPG,1884,296,276,448,Chesterfield
C1_P01_N1_S3_1.JPG,1580,308,276,448,Chesterfield
C1_P01_N1_S3_1.JPG,728,1048,276,448,Muratti
C1_P01_N1_S3_1.JPG,996,1060,276,448,Muratti
C1_P01_N1_S3_1.JPG,1284,1068,276,448,Muratti
C1_P01_N1_S3_1.JPG,1552,1068,276,448,Muratti
C1_P01_N1_S3_1.JPG,1824,1068,276,448,Muratti
C1_P01_N1_S3_1.JPG,740,1788,276,448,Marlboro
C1_P01_N1_S3_1.JPG,1012,1808,276,448,Marlboro
C1_P01_N1_S3_1.JPG,1812,1844,276,448,Marlboro
C1_P01_N1_S3_2.JPG,452,56,268,404,Chesterfield
C1_P01_N1_S3_2.JPG,736,72,268,404,Chesterfield
C1_P01_N1_S3_2.JPG,980,84,268,404,Chesterfield
C1_P01_N1_S3_2.JPG,1240,96,268,404,Chesterfield
C1_P01_N1_S3_2.JPG,1492,104,268,404,Chesterfield
C1_P01_N1_S3_2.JPG,484,772,268,404,Muratti
C1_P01_N1_S3_2.JPG,740,796,268,404,Muratti
C1_P01_N1_S3_2.JPG,984,804,268,404,Muratti
C1_P01_N1_S3_2.JPG,1484,804,268,404,Muratti
C1_P01_N1_S3_2.JPG,1236,812,268,404,Muratti
C1_P01_N1_S3_2.JPG,504,1424,268,404,Marlboro
C1_P01_N1_S3_2.JPG,772,1432,268,404,Marlboro
C1_P01_N1_S3_2.JPG,1468,1460,268,404,Marlboro
C1_P01_N1_S5_1.JPG,456,4,220,304,Chesterfield
C1_P01_N1_S5_1.JPG,656,8,220,304,Chesterfield
C1_P01_N1_S5_1.JPG,864,24,220,304,Chesterfield
C1_P01_N1_S5_1.JPG,1052,32,220,304,Chesterfield
C1_P01_N1_S5_1.JPG,1272,52,176,296,Chesterfield
C1_P01_N1_S5_1.JPG,468,544,204,296,Muratti
C1_P01_N1_S5_1.JPG,676,556,192,280,Muratti
C1_P01_N1_S5_1.JPG,884,564,192,280,Muratti
C1_P01_N1_S5_1.JPG,1068,576,192,280,Muratti
C1_P01_N1_S5_1.JPG,1260,584,192,280,Muratti
C1_P01_N1_S5_1.JPG,464,1056,208,340,Marlboro
C1_P01_N1_S5_1.JPG,684,1100,208,308,Marlboro
C1_P01_N1_S5_1.JPG,1252,1116,208,308,Marlboro
C1_P01_N1_S5_1.JPG,480,1580,208,332,Parliament
C1_P01_N1_S5_1.JPG,672,1584,208,332,Parliament
C1_P01_N1_S5_1.JPG,1252,2076,220,312,Bond
C1_P01_N1_S5_1.JPG,1036,2096,220,312,Bond
C1_P01_N1_S5_1.JPG,652,2104,200,332,Bond
C1_P01_N1_S5_1.JPG,464,2116,200,312,Bond
C1_P01_N1_S5_1.JPG,840,2120,200,312,Bond
C1_P01_N2_S2_1.JPG,564,12,460,720,Muratti
C1_P01_N2_S2_1.JPG,1028,20,460,720,Muratti
C1_P01_N2_S2_1.JPG,1492,40,460,720,Muratti
C1_P01_N2_S2_1.JPG,1940,60,460,720,Muratti
C1_P01_N2_S2_1.JPG,2388,76,460,720,Muratti
C1_P01_N2_S2_1.JPG,592,1200,460,772,Marlboro
C1_P01_N2_S2_1.JPG,1080,1296,460,676,Marlboro
C1_P01_N2_S2_1.JPG,2328,1348,460,676,Marlboro
